Unnamed: 0,year,country_code,valuenormal,valueoffensive,valuehate,valueNegative,valueNeutral,valuePositive,country,total_unemployment,real_gdp_r,immigration_flow,asylum_applications,total_population,EU_migrant_stock,NonEU_migrant_stock,share_offensive,share_negative,share_positive,asyl_per100k,immigrationflow_per100k,total_migrant_stock,migrant_stock_per100k,nonEU_stock_per100k,iso3n,share_normal,share_hate,share_neutral,lt_unemployment,income,youth_unemployment
61,2018,HU,292,3,16,7,189,115,Hungary,3.5999999,5.400000095367432,82937.0,635.0,9778371.0,77998.0,83418.0,0.0096463022508038,0.022508038585209,0.3697749196141479,6.4939241,848.16785,161416.0,1650.7454,853.08685,348,0.9389067524115756,0.0514469453376205,0.6077170418006431,1.4,7100.0,9.9
62,2018,IT,2446,16,52,32,1568,914,Italy,10.6,0.8999999761581421,332324.0,53440.0,60483973.0,1562147.0,3581561.0,0.0063643595863166,0.0127287191726332,0.3635640413683373,88.353981,549.44141,5143708.0,8504.25,5921.5044,380,0.9729514717581544,0.020684168655529,0.6237072394590294,6.3,17800.0,32.2
63,2018,NL,1085,9,27,18,698,405,Netherlands,3.8,2.400000095367432,194306.0,20465.0,17181084.0,525626.0,451197.0,0.0080285459411239,0.0160570918822479,0.3612845673505798,119.11356,1130.9298,976823.0,5685.4561,2626.1265,528,0.967885816235504,0.0240856378233719,0.6226583407671722,1.4,20200.0,7.2
64,2018,PL,775,16,38,106,588,135,Poland,3.9000001,5.400000095367432,214083.0,2405.0,37976687.0,30098.0,208574.0,0.0193003618817852,0.1278648974668275,0.1628468033775633,6.3328323,563.72217,238672.0,628.46979,549.21588,616,0.9348612786489746,0.04583835946924,0.7092882991556092,1.1,7400.0,11.7
65,2018,SE,376,1,4,8,272,101,Sweden,6.4000001,2.0,132602.0,18110.0,10120242.0,318263.0,543921.0,0.0026246719160104,0.0209973753280839,0.2650918635170604,178.94829,1310.2651,862184.0,8519.4014,5374.585,752,0.9868766404199476,0.0104986876640419,0.7139107611548556,1.1,21700.0,17.4
66,2019,AT,1298,10,41,133,734,482,Austria,4.8000002,1.5,109167.0,11010.0,8858775.0,730209.0,692473.0,0.0074128984432913,0.0985915492957746,0.3573017049666419,124.28355,1232.3036,1422682.0,16059.579,7816.8032,40,0.9621942179392142,0.0303928836174944,0.5441067457375834,1.1,,9.1
67,2019,CH,3745,26,79,348,2001,1501,Switzerland,4.4000001,1.200000047683716,145129.0,12600.0,8544527.0,1411744.0,734172.0,0.0067532467532467,0.0903896103896104,0.3898701298701298,147.46281,1698.5024,2145916.0,25114.51,8592.3066,756,0.9727272727272728,0.0205194805194805,0.5197402597402597,1.5,,8.0
68,2019,DE,5600,86,289,781,3474,1720,Germany,3.0999999,1.100000023841858,886341.0,142510.0,83019213.0,4383694.0,5694104.0,0.0143933054393305,0.1307112970711297,0.2878661087866109,171.65906,1067.6335,10077798.0,12139.115,6858.7788,276,0.9372384937238494,0.04836820083682,0.5814225941422594,1.2,,5.8
69,2019,ES,4321,62,255,611,2585,1442,Spain,14.1,2.099999904632568,750480.0,115190.0,46937060.0,1966631.0,2871969.0,0.0133678309616213,0.1317378180250107,0.3109098749460974,245.41376,1598.9071,4838600.0,10308.698,6118.7661,724,0.9316515739542908,0.0549805950840879,0.5573523070288917,5.4,,32.5
70,2019,FR,5724,60,275,699,3378,1982,France,8.3999996,1.799999952316284,385591.0,138290.0,67177636.0,1599411.0,3395945.0,0.0099026241954117,0.1153655718765472,0.3271166859217693,205.85719,573.98718,4995356.0,7436.04,5055.1719,250,0.9447103482422842,0.045387027562304,0.5575177422016835,3.4,,20.7
